Customer_ID,Age,Gender,Location,Category,Item_Purchased,Purchase_Amount,Quantity,Payment_Method,Season,Discount_Applied,Promo_Code_Used,Subscription_Status,Shipping_Type,Review_Rating,Previous_Purchases,Frequency_of_Purchases,Purchase_Date
100001,61,Male,Vijayawada,Clothing,T-Shirt,2398.65,1,UPI,Summer,Yes,No,No,Standard,4.1,7,Monthly,27-10-2025
100002,18,Male,Kochi,Sports,Cricket Bat,4610.81,2,Credit Card,Autumn,No,No,No,Standard,4.2,8,Weekly,24-01-2025
100003,47,Male,Bhopal,Clothing,Jacket,854.6,3,Net Banking,Autumn,Yes,Yes,No,Same Day,4.3,19,Monthly,23-10-2024
100004,41,Male,Indore,Clothing,Jeans,2098.72,3,UPI,Summer,Yes,Yes,No,Same Day,4.4,12,Monthly,16-06-2024
100005,32,Female,Bengaluru,Books,Programming Book,765.36,1,Debit Card,Winter,No,No,Yes,Express,5,48,Quarterly,05-08-2024
100006,34,Male,Kolkata,Books,Programming Book,1926.23,5,Debit Card,Winter,No,No,No,Same Day,4.6,20,Yearly,05-01-2025
100007,25,Male,Pune,Beauty,Face Wash,2417.82,4,Net Banking,Spring,No,No,No,Express,3.0,2,Quarterly,20-07-2025
100008,67,Female,Mumbai,Electronics,Camera,10870.0,2,Cash,Spring,No,No,No,Same Day,5,17,Quarterly,27-05-2025
100009,56,Male,Delhi,Footwear,Flip Flops,3055.66,2,Net Banking,Spring,Yes,Yes,No,Same Day,4.2,20,Quarterly,10-11-2024
100010,23,Female,Chennai,Beauty,Lipstick,2938.36,5,Credit Card,Summer,No,No,Yes,Same Day,4.3,44,Yearly,16-07-2025
100011,52,Male,Jaipur,Footwear,Boots,3213.65,3,Cash,Winter,Yes,Yes,No,Standard,4.2,19,Weekly,25-08-2025
100012,21,Male,Chennai,Beauty,Shampoo,2735.18,3,UPI,Summer,No,No,Yes,Express,4.4,12,Yearly,07-08-2024
100013,69,Female,Visakhapatnam,Footwear,Flip Flops,1294.25,4,Debit Card,Winter,No,No,No,Express,3.4,7,Weekly,03-03-2024
100014,46,Male,Kochi,Sports,Yoga Mat,2855.07,4,Credit Card,Spring,Yes,Yes,No,Express,4.4,3,Weekly,21-02-2024
100015,31,Female,Bengaluru,Electronics,Laptop,8292.74,1,Cash,Autumn,Yes,Yes,No,Express,4.0,7,Yearly,07-06-2024
100016,52,Male,Lucknow,Beauty,Perfume,360.06,5,Cash,Summer,No,No,Yes,Standard,5.0,11,Weekly,09-07-2024
100017,54,Male,Vijayawada,Clothing,Dress,3175.34,5,UPI,Winter,Yes,No,Yes,Same Day,3.7,23,Quarterly,28-07-2024
100018,37,Female,Lucknow,Grocery,Oil,2336.74,1,UPI,Winter,No,No,Yes,Same Day,3.9,16,Weekly,16-03-2024
100019,33,Female,Jaipur,Beauty,Shampoo,641.69,5,Debit Card,Spring,No,No,Yes,Same Day,4.4,30,Weekly,17-05-2024
100020,31,Female,Visakhapatnam,Home Decor,Lamp,4218.73,3,Net Banking,Winter,Yes,Yes,No,Express,3.8,17,Weekly,04-04-2024
100021,58,Female,Pune,Sports,Yoga Mat,9101.79,5,Cash,Spring,No,No,Yes,Standard,5,29,Monthly,12-07-2025
100022,41,Male,Indore,Electronics,Tablet,9201.53,2,UPI,Autumn,Yes,Yes,No,Same Day,4.7,4,Yearly,27-09-2025
100023,19,Male,Lucknow,Footwear,Sandals,5629.03,4,Credit Card,Autumn,No,No,No,Standard,4.3,5,Weekly,26-04-2025
100024,32,Male,Hyderabad,Beauty,Face Wash,2048.09,4,Debit Card,Autumn,Yes,No,No,Standard,4.0,14,Quarterly,25-12-2024
100025,29,Female,Bengaluru,Sports,Tennis Racket,2014.11,4,Debit Card,Autumn,Yes,No,Yes,Express,3.7,9,Yearly,13-08-2025
100026,52,Male,Indore,Beauty,Perfume,1407.63,3,Net Banking,Autumn,Yes,No,Yes,Same Day,3.8,35,Weekly,03-11-2024
100027,30,Female,Bhopal,Home Decor,Carpet,4160.71,2,Net Banking,Autumn,No,No,Yes,Express,4.2,26,Quarterly,03-08-2024
100028,46,Male,Surat,Sports,Tennis Racket,6099.69,2,UPI,Autumn,No,No,No,Same Day,4.2,10,Quarterly,05-04-2024
100029,48,Male,Coimbatore,Beauty,Perfume,1360.43,5,Credit Card,Winter,Yes,Yes,Yes,Express,4.0,20,Weekly,19-04-2024
100030,53,Male,Mumbai,Sports,Cricket Bat,5912.37,4,Net Banking,Autumn,No,No,Yes,Express,4.4,41,Yearly,15-07-2025
100031,66,Male,Ahmedabad,Books,Biography,1973.08,5,Cash,Summer,No,No,No,Express,3.5,15,Monthly,05-10-2024
100032,62,Male,Visakhapatnam,Grocery,Coffee,347.73,4,Debit Card,Winter,Yes,Yes,No,Express,4.5,2,Weekly,30-07-2024
100033,19,Female,Nagpur,Sports,Dumbbells,866.04,3,Debit Card,Winter,No,No,No,Express,3.4,18,Monthly,14-05-2025
100034,69,Female,Pune,Beauty,Perfume,2553.42,2,Net Banking,Spring,Yes,Yes,No,Express,4.0,0,Weekly,26-03-2024
100035,31,Female,Lucknow,Sports,Cricket Bat,4580.01,4,Debit Card,Winter,Yes,Yes,No,Express,4.5,5,Weekly,24-12-2024
100036,33,Male,Hyderabad,Beauty,Lipstick,1939.74,2,Credit Card,Winter,Yes,Yes,No,Same Day,3.7,20,Weekly,31-07-2025
100037,65,Male,Pune,Beauty,Moisturizer,2901.22,1,Net Banking,Spring,Yes,Yes,No,Express,3.2,11,Yearly,10-02-2025
100038,37,Male,Vijayawada,Beauty,Lipstick,2391.38,3,Net Banking,Winter,Yes,Yes,No,Same Day,3.7,20,Quarterly,11-03-2024
100039,58,Female,Delhi,Grocery,Rice,1201.62,5,Debit Card,Winter,Yes,No,No,Express,3.5,15,Quarterly,26-11-2024
100040,57,Female,Lucknow,Beauty,Lipstick,280.36,3,Credit Card,Winter,Yes,Yes,Yes,Standard,4.5,36,Quarterly,21-09-2024
100041,51,Male,Chennai,Grocery,Coffee,755.12,4,Cash,Summer,No,No,No,Same Day,3.4,8,Yearly,18-01-2024
100042,48,Female,Kochi,Clothing,Jacket,4984.84,5,Debit Card,Autumn,Yes,Yes,Yes,Same Day,4.3,23,Yearly,04-10-2024
100043,66,Male,Visakhapatnam,Home Decor,Wall Art,1533.39,4,Debit Card,Autumn,Yes,No,Yes,Standard,4.4,20,Quarterly,02-07-2024
100044,53,Female,Delhi,Home Decor,Lamp,3935.86,4,UPI,Spring,Yes,No,No,Same Day,3.8,4,Quarterly,25-04-2025
100045,25,Male,Bhopal,Books,Programming Book,1356.43,5,UPI,Summer,Yes,No,Yes,Standard,4.7,11,Weekly,11-09-2024
100046,57,Male,Surat,Clothing,Dress,2211.7,4,Debit Card,Winter,No,No,No,Express,3.1,19,Weekly,16-09-2025
100047,28,Male,Pune,Clothing,Jeans,2983.97,2,UPI,Winter,No,No,No,Express,4.0,8,Weekly,25-08-2024
100048,34,Male,Kochi,Home Decor,Wall Art,954.22,2,Credit Card,Autumn,Yes,Yes,No,Standard,3.7,14,Weekly,02-03-2024
100049,46,Male,Coimbatore,Footwear,Boots,5038.67,4,Debit Card,Winter,No,No,No,Express,4.3,18,Yearly,26-11-2024
100050,19,Female,Vijayawada,Home Decor,Lamp,529.32,2,Cash,Winter,No,No,Yes,Express,4.3,44,Monthly,22-08-2025
100051,60,Male,Pune,Sports,Dumbbells,4493.8,4,Debit Card,Winter,Yes,Yes,No,Same Day,4.4,15,Quarterly,27-11-2024
100052,52,Female,Kochi,Clothing,Kurta,743.92,5,Debit Card,Winter,No,No,No,Same Day,4.2,0,Yearly,22-02-2024
100053,25,Male,Mysuru,Beauty,Perfume,2438.08,2,Debit Card,Spring,Yes,Yes,No,Same Day,3.9,9,Weekly,17-04-2025
100054,36,Female,Kochi,Clothing,Hoodie,4256.26,4,Credit Card,Winter,No,No,No,Same Day,4.4,15,Monthly,27-01-2025
100055,35,Female,Lucknow,Beauty,Shampoo,2815.9,5,Debit Card,Spring,No,No,No,Express,4.1,4,Yearly,01-06-2024
100056,52,Female,Coimbatore,Books,Comics,2348.92,2,Credit Card,Winter,No,No,No,Standard,3.3,10,Yearly,14-02-2024
100057,70,Male,Nagpur,Grocery,Milk,2419.1,2,Net Banking,Autumn,Yes,Yes,No,Standard,4.6,12,Yearly,16-01-2024
100058,34,Female,Mysuru,Footwear,Running Shoes,5064.04,1,Debit Card,Winter,Yes,No,No,Express,3.8,4,Yearly,08-07-2025
100059,36,Male,Chennai,Electronics,Headphones,13679.43,1,UPI,Winter,No,No,Yes,Standard,3.8,48,Weekly,28-11-2024
100060,54,Male,Pune,Electronics,Tablet,8501.39,5,Cash,Summer,Yes,Yes,No,Express,3.2,13,Monthly,25-08-2024
100061,47,Female,Patna,Books,Science Book,605.45,4,Debit Card,Autumn,No,No,No,Same Day,4.9,0,Yearly,05-11-2024
100062,54,Female,Jaipur,Beauty,Moisturizer,261.43,4,Debit Card,Spring,Yes,Yes,No,Same Day,4.0,3,Weekly,12-09-2025
100063,40,Male,Visakhapatnam,Books,Science Book,1647.01,2,UPI,Spring,No,No,No,Express,4.2,7,Quarterly,14-05-2024
100064,52,Female,Surat,Clothing,Jacket,2758.08,3,Credit Card,Autumn,Yes,Yes,Yes,Express,4.1,34,Quarterly,12-12-2024
100065,32,Female,Patna,Clothing,Kurta,2145.99,4,UPI,Autumn,No,No,No,Same Day,4.5,4,Quarterly,21-08-2025
100066,57,Female,Mysuru,Sports,Yoga Mat,3279.31,1,Cash,Autumn,No,No,Yes,Same Day,4.5,22,Yearly,29-04-2024
100067,25,Male,Kolkata,Footwear,Sneakers,6289.73,2,Cash,Winter,No,No,No,Express,3.8,9,Yearly,24-08-2025
100068,35,Male,Indore,Footwear,Running Shoes,2068.8,4,Credit Card,Autumn,No,No,No,Standard,3.5,15,Quarterly,11-07-2025
100069,70,Female,Chennai,Grocery,Rice,1724.37,5,UPI,Spring,No,No,No,Express,4.2,6,Monthly,11-03-2024
100070,56,Male,Ahmedabad,Beauty,Shampoo,2603.54,2,Credit Card,Autumn,Yes,Yes,Yes,Standard,4.5,22,Weekly,07-11-2025
100071,19,Male,Ahmedabad,Electronics,Smartphone,6047.98,4,Net Banking,Spring,No,No,Yes,Same Day,4.7,23,Quarterly,09-06-2025
100072,60,Female,Coimbatore,Clothing,Kurta,3395.03,1,UPI,Winter,Yes,No,No,Express,4.4,19,Yearly,03-12-2025
100073,56,Male,Chennai,Clothing,Kurta,1067.86,5,Net Banking,Autumn,Yes,Yes,No,Express,4.8,14,Yearly,01-06-2025
100074,59,Male,Kochi,Sports,Football,5857.42,2,Cash,Autumn,No,No,No,Express,4.2,3,Yearly,01-03-2025
100075,48,Male,Chennai,Clothing,Jacket,4242.97,1,Cash,Spring,Yes,Yes,No,Same Day,4.1,8,Weekly,23-08-2025
100076,66,Female,Bengaluru,Grocery,Milk,2427.32,5,Debit Card,Autumn,No,No,Yes,Standard,3.3,30,Monthly,07-06-2024
100077,41,Male,Ahmedabad,Books,Biography,1541.73,4,Net Banking,Spring,No,No,No,Same Day,5,11,Quarterly,30-01-2024
100078,40,Male,Pune,Footwear,Boots,6180.14,5,Cash,Spring,No,No,No,Standard,3.8,9,Weekly,03-04-2024
100079,38,Male,Bengaluru,Beauty,Moisturizer,635.62,5,UPI,Spring,Yes,Yes,No,Express,3.7,10,Yearly,28-02-2025
100080,61,Female,Surat,Home Decor,Curtains,4102.66,1,Credit Card,Winter,Yes,Yes,No,Same Day,4.4,3,Weekly,08-01-2024
100081,36,Female,Mumbai,Beauty,Perfume,221.64,4,Credit Card,Summer,No,No,No,Express,3.8,4,Quarterly,14-03-2024
100082,38,Female,Vijayawada,Sports,Football,5329.54,4,Debit Card,Spring,No,No,No,Express,4.1,14,Weekly,28-11-2024
100083,33,Female,Vijayawada,Footwear,Flip Flops,3222.83,1,Cash,Autumn,Yes,No,No,Same Day,4.0,11,Monthly,19-03-2024
100084,59,Male,Kolkata,Clothing,Dress,962.62,3,Credit Card,Summer,Yes,No,No,Same Day,4.6,11,Monthly,02-11-2025
100085,66,Female,Vijayawada,Clothing,Jeans,3393.46,5,Debit Card,Autumn,No,No,No,Standard,3.7,20,Quarterly,08-10-2024
100086,20,Male,Indore,Electronics,Tablet,21633.93,1,UPI,Winter,No,No,No,Express,4.4,9,Weekly,05-04-2025
100087,24,Female,Chennai,Beauty,Perfume,1612.74,2,UPI,Summer,Yes,Yes,No,Same Day,3.7,16,Monthly,07-01-2025
100088,21,Female,Chennai,Grocery,Coffee,958.29,5,Cash,Autumn,No,No,No,Express,4.4,10,Monthly,07-12-2024
100089,60,Female,Delhi,Clothing,Dress,3177.69,1,Debit Card,Winter,Yes,Yes,No,Same Day,4.4,11,Weekly,23-10-2025
100090,39,Female,Visakhapatnam,Sports,Tennis Racket,3337.28,2,Credit Card,Spring,Yes,No,No,Express,3.3,11,Weekly,03-06-2025
100091,28,Male,Mysuru,Electronics,Camera,21180.87,2,Cash,Spring,Yes,Yes,Yes,Express,3.7,47,Yearly,17-09-2025
100092,48,Male,Indore,Home Decor,Carpet,4166.35,5,Cash,Winter,Yes,No,Yes,Express,4.8,23,Yearly,29-05-2025
100093,59,Female,Indore,Sports,Cricket Bat,7010.86,1,Net Banking,Spring,Yes,Yes,No,Express,4.5,19,Yearly,09-06-2025
100094,40,Male,Kochi,Footwear,Running Shoes,1035.52,5,Debit Card,Summer,No,No,Yes,Express,4.3,22,Weekly,18-01-2025
100095,59,Female,Delhi,Beauty,Lipstick,585.28,3,Cash,Summer,No,No,Yes,Same Day,3.5,14,Weekly,20-01-2024
100096,56,Female,Mumbai,Home Decor,Curtains,4724.18,2,Debit Card,Spring,No,No,No,Standard,4.3,17,Monthly,05-03-2025
100097,19,Male,Delhi,Books,Novel,905.36,1,Net Banking,Autumn,No,No,Yes,Standard,3.9,39,Weekly,20-06-2025
100098,50,Male,Bhopal,Grocery,Rice,2208.66,1,Cash,Autumn,No,No,No,Express,4.1,17,Weekly,31-12-2024
100099,67,Female,Delhi,Clothing,Jacket,699.51,5,Debit Card,Summer,No,No,Yes,Same Day,3.4,50,Monthly,18-05-2024
100100,68,Male,Bengaluru,Clothing,Hoodie,1920.18,3,Net Banking,Winter,Yes,Yes,No,Same Day,4.4,14,Yearly,16-09-2024
100101,21,Female,Ahmedabad,Electronics,Camera,7489.5,3,Cash,Winter,No,No,Yes,Same Day,3.0,30,Quarterly,10-07-2024
